,dong,Latitude,Longitude,fuel,num
0,종로구 청운효자동,37.5837762,126.9706629,hybrid,223
0,종로구 사직동,37.5738782,126.9705612,hybrid,390
0,종로구 삼청동,37.5907651,126.9810164,hybrid,35
0,종로구 부암동,37.5975499,126.9624425,hybrid,194
0,종로구 평창동,37.6130288,126.9745028,hybrid,494
0,종로구 무악동,37.5764425,126.9593115,hybrid,201
0,종로구 교남동,37.5716359,126.9639041,hybrid,229
0,종로구 가회동,37.5820119,126.9864646,hybrid,55
0,종로구 종로1.2.3.4가동,37.5741642,126.9897294,hybrid,294
0,종로구 종로5.6가동,37.5730662,127.0044068,hybrid,86
0,종로구 이화동,37.5772395,127.005633,hybrid,67
0,종로구 혜화동,37.5878109,127.0017424,hybrid,194
0,종로구 창신1동,,,hybrid,35
0,종로구 창신2동,37.5739234,127.0104106,hybrid,38
0,종로구 창신3동,37.5789506,127.0150489,hybrid,82
0,종로구 숭인1동,37.5777841,127.0156044,hybrid,69
0,종로구 숭인2동,37.5748401,127.0199652,hybrid,73
0,중구 소공동,37.5644131,126.9749183,hybrid,166
0,중구 회현동,37.5576619,126.9776955,hybrid,870
0,중구 명동,37.55998,126.9858296,hybrid,517
0,중구 필동,37.5583601,126.9942769,hybrid,130
0,중구 장충동,37.5580498,127.0035937,hybrid,57
0,중구 광희동,37.565028,127.0029827,hybrid,101
0,중구 을지로동,37.5661882,126.9964788,hybrid,52
0,중구 신당동,37.5579144,127.01367,hybrid,110
0,중구 다산동,37.5552493,127.0083199,hybrid,148
0,중구 약수동,37.5513128,127.0109839,hybrid,301
0,중구 청구동,37.5573917,127.0147951,hybrid,190
0,중구 신당5동,37.5638224,127.0215236,hybrid,140
0,중구 동화동,37.5610802,127.0180792,hybrid,146
0,중구 황학동,37.5685466,127.020839,hybrid,177
0,중구 중림동,37.5572954,126.9655633,hybrid,252
0,용산구 후암동,37.5498982,126.9806255,hybrid,177
0,용산구 용산2가동,37.5432385,126.9851627,hybrid,72
0,용산구 남영동,37.5458902,126.9745456,hybrid,263
0,용산구 청파동,37.5474501,126.9666388,hybrid,196
0,용산구 원효로1동,37.5371771,126.9676658,hybrid,408
0,용산구 원효로2동,37.5362972,126.9633401,hybrid,317
0,용산구 효창동,37.5433203,126.9611019,hybrid,217
0,용산구 용문동,37.5378157,126.9590784,hybrid,187
0,용산구 한강로동,37.5296613,126.9673235,hybrid,714
0,용산구 이촌1동,37.515785,126.971944,hybrid,771
0,용산구 이촌2동,37.5251783,126.9548896,hybrid,151
0,용산구 이태원1동,37.5309385,126.9959585,hybrid,123
0,용산구 이태원2동,37.5401755,126.9926918,hybrid,118
0,용산구 한남동,37.5375279,127.0051334,hybrid,425
0,용산구 서빙고동,37.5233986,126.9905244,hybrid,342
0,용산구 보광동,37.5268698,127.0009168,hybrid,129
0,기타,,,hybrid,2
0,성동구 왕십리2동,37.5616887,127.0279152,hybrid,241
0,성동구 왕십리도선동,37.5666113,127.0299063,hybrid,491
0,성동구 마장동,37.5669747,127.040228,hybrid,316
0,성동구 사근동,37.5595968,127.0449623,hybrid,114
0,성동구 행당1동,37.5598639,127.0354473,hybrid,301
0,성동구 행당2동,37.5570351,127.0300265,hybrid,465
0,성동구 응봉동,37.5515276,127.0330901,hybrid,314
0,성동구 금호1가동,37.5536559,127.0242774,hybrid,320
0,성동구 금호2.3가동,37.5510106,127.0197905,hybrid,406
0,성동구 금호4가동,37.5468082,127.0214527,hybrid,349
0,성동구 옥수동,37.5438285,127.013956,hybrid,688
0,성동구 성수1가1동,37.5420391,127.0496855,hybrid,394
0,성동구 성수1가2동,37.5399004,127.0463525,hybrid,241
0,성동구 성수2가1동,37.5407929,127.0546096,hybrid,374
0,성동구 성수2가3동,37.5482051,127.0552403,hybrid,302
0,성동구 송정동,37.5525301,127.064491,hybrid,105
0,성동구 용답동,37.5602836,127.0556556,hybrid,234
0,광진구 화양동,37.5432534,127.07341,hybrid,167
0,광진구 군자동,37.5530406,127.0736767,hybrid,199
0,광진구 중곡1동,37.5605114,127.0800527,hybrid,167
0,광진구 중곡2동,37.5602041,127.0814596,hybrid,223
0,광진구 중곡3동,37.5687864,127.0801539,hybrid,149
0,광진구 중곡4동,37.5590531,127.0894118,hybrid,299
0,광진구 능동,37.5505785,127.0817378,hybrid,152
0,광진구 광장동,37.5478239,127.1047149,hybrid,891
0,광진구 자양1동,37.5383734,127.0797104,hybrid,296
0,광진구 자양2동,37.5311799,127.0839602,hybrid,353
0,광진구 자양3동,37.5337905,127.0729056,hybrid,568
0,광진구 자양4동,37.531692,127.074516,hybrid,247
0,광진구 구의1동,,,hybrid,312
0,광진구 구의2동,37.5467284,127.0857543,hybrid,394
0,광진구 구의3동,37.5467284,127.0857543,hybrid,555
0,동대문구 용신동,37.5760042,127.0329381,hybrid,507
0,동대문구 제기동,37.5837593,127.0372351,hybrid,249
0,동대문구 전농1동,37.5789235,127.0502677,hybrid,368
0,동대문구 전농2동,37.578437,127.0575812,hybrid,282
0,동대문구 답십리1동,37.5718469,127.0511771,hybrid,527
0,동대문구 답십리2동,37.5673695,127.0612392,hybrid,435
0,동대문구 장안1동,37.5669531,127.0695161,hybrid,583
0,동대문구 장안2동,37.578224,127.0706069,hybrid,505
0,동대문구 청량리동,37.5888074,127.0452806,hybrid,187
0,동대문구 회기동,37.5920886,127.0516746,hybrid,104
0,동대문구 휘경1동,,,hybrid,165
0,동대문구 휘경2동,37.5862154,127.0645629,hybrid,328
0,동대문구 이문1동,37.5978048,127.0654845,hybrid,177
0,동대문구 이문2동,37.6033189,127.0650367,hybrid,269
0,중랑구 면목2동,37.5873525,127.079918,hybrid,0
0,중랑구 면목2동,37.5873525,127.079918,hybrid,232
0,중랑구 면목4동,37.5762111,127.0828246,hybrid,214
0,중랑구 면목5동,37.585777,127.0760365,hybrid,251
0,중랑구 면목본동,37.5883525,127.0895771,hybrid,294
0,중랑구 면목7동,37.5789797,127.0869585,hybrid,260
0,중랑구 면목3.8동,37.5849794,127.0934866,hybrid,217
0,중랑구 상봉1동,,,hybrid,381
0,중랑구 상봉2동,37.5930916,127.0809054,hybrid,224
0,중랑구 중화1동,37.6026989,127.0815695,hybrid,201
0,중랑구 중화2동,37.5956718,127.0720429,hybrid,188
0,중랑구 묵1동,37.6132254,127.0816525,hybrid,510
0,중랑구 묵2동,37.6059665,127.0783572,hybrid,168
0,중랑구 망우본동,37.6025377,127.1050101,hybrid,421
0,중랑구 망우3동,37.5920511,127.0950271,hybrid,129
0,중랑구 신내1동,37.6111837,127.1025032,hybrid,566
0,중랑구 신내2동,37.6108929,127.0925667,hybrid,308
0,성북구 성북동,37.5952093,126.9978087,hybrid,282
0,성북구 삼선동,37.5867232,127.0117083,hybrid,262
0,성북구 동선동,37.5937751,127.0179706,hybrid,137
0,성북구 돈암1동,37.6032165,127.0261753,hybrid,237
0,성북구 돈암2동,37.5977421,127.0124752,hybrid,542
0,성북구 안암동,37.586288,127.0261105,hybrid,132
0,성북구 보문동,37.5823948,127.0192971,hybrid,246
0,성북구 정릉1동,37.603073,127.013482,hybrid,289
0,성북구 정릉2동,37.6065861,127.0130205,hybrid,303
0,성북구 정릉3동,37.6089333,127.0041887,hybrid,164
0,성북구 정릉4동,37.6056991,127.0175664,hybrid,384
0,성북구 길음1동,37.6077624,127.0199553,hybrid,671
0,성북구 길음2동,37.6082954,127.0270747,hybrid,389
0,성북구 종암동,37.5971752,127.0338975,hybrid,532
0,성북구 월곡1동,37.6105027,127.0357126,hybrid,363
0,성북구 월곡2동,37.6057257,127.0478505,hybrid,238
0,성북구 장위1동,37.6116363,127.0434302,hybrid,289
0,성북구 장위2동,37.6114474,127.0577383,hybrid,105
0,성북구 장위3동,37.6177719,127.0538521,hybrid,300
0,성북구 석관동,37.6082694,127.0614872,hybrid,386
0,강북구 삼양동,37.6243311,127.0167583,hybrid,217
0,강북구 미아동,37.6281999,127.0262498,hybrid,173
0,강북구 송중동,37.6178374,127.0326782,hybrid,302
0,강북구 송천동,37.6183281,127.0246048,hybrid,203
0,강북구 삼각산동,37.6174656,127.0174811,hybrid,571
0,강북구 번1동,37.6373011,127.0308775,hybrid,131
0,강북구 번2동,37.6298562,127.0340769,hybrid,1
0,강북구 번2동,37.6298562,127.0340769,hybrid,111
0,강북구 번3동,37.6249835,127.0426421,hybrid,158
0,강북구 수유1동,37.6319434,127.0112795,hybrid,5
0,강북구 수유1동,37.6319434,127.0112795,hybrid,161
0,강북구 수유2동,37.6448833,127.0199194,hybrid,191
0,강북구 수유3동,37.6407404,127.0231016,hybrid,1
0,강북구 수유3동,37.6407404,127.0231016,hybrid,157
0,강북구 우이동,37.6572676,127.003039,hybrid,210
0,강북구 인수동,37.639078,127.0113295,hybrid,262
0,도봉구 창1동,37.65185,127.0503526,hybrid,364
0,도봉구 창2동,37.6413143,127.0354614,hybrid,333
0,도봉구 창3동,37.6378003,127.0395247,hybrid,117
0,도봉구 창4동,37.6449634,127.055145,hybrid,463
0,도봉구 창5동,37.6562472,127.0435717,hybrid,395
0,도봉구 도봉1동,,,hybrid,171
0,도봉구 도봉2동,37.6798497,127.0495817,hybrid,364
0,도봉구 쌍문1동,,,hybrid,229
0,도봉구 쌍문2동,37.6613576,127.0375166,hybrid,160
0,도봉구 쌍문3동,37.6505533,127.0322396,hybrid,169
0,도봉구 쌍문4동,37.6564869,127.0284248,hybrid,241
0,도봉구 방학1동,37.6648172,127.0424203,hybrid,372
0,도봉구 방학2동,37.6691065,127.0323527,hybrid,123
0,도봉구 방학3동,37.6599686,127.0240179,hybrid,350
0,노원구 월계1동,37.6219654,127.0585916,hybrid,281
0,노원구 월계2동,37.6341057,127.0512947,hybrid,308
0,노원구 월계3동,37.6238001,127.0646875,hybrid,417
0,노원구 공릉1동,37.6238137,127.0735097,hybrid,479
0,노원구 공릉2동,37.6321366,127.0914306,hybrid,784
0,노원구 하계1동,37.6393637,127.0751344,hybrid,452
0,노원구 하계2동,37.6352145,127.0648065,hybrid,350
0,노원구 중계본동,37.6475494,127.0843318,hybrid,460
0,노원구 중계1동,37.6499994,127.073947,hybrid,551
0,노원구 중계4동,37.6579542,127.0780747,hybrid,272
0,노원구 중계2.3동,37.643546,127.0659188,hybrid,416
0,노원구 상계1동,37.6809223,127.0619306,hybrid,540
0,노원구 상계2동,37.656471,127.0662494,hybrid,269
0,노원구 상계3.4동,37.6744854,127.0818506,hybrid,255
0,노원구 상계5동,37.6645101,127.0701682,hybrid,223
0,노원구 상계6.7동,37.6492392,127.0606019,hybrid,444
0,노원구 상계8동,37.6657968,127.0543753,hybrid,346
0,노원구 상계9동,37.6673935,127.0619788,hybrid,254
0,노원구 상계10동,37.6597393,127.0604535,hybrid,264
0,은평구 녹번동,37.6046138,126.9323836,hybrid,581
0,은평구 불광1동,37.6158738,126.9335258,hybrid,571
0,은평구 불광2동,37.6239169,126.9269733,hybrid,257
0,은평구 갈현1동,37.6246865,126.9157626,hybrid,154
0,은평구 갈현2동,37.6176447,126.9131039,hybrid,304
0,은평구 구산동,37.611231,126.9088437,hybrid,360
0,은평구 대조동,37.6120477,126.923359,hybrid,229
0,은평구 응암1동,37.5990491,126.9261628,hybrid,501
0,은평구 응암2동,37.5921823,126.9221307,hybrid,559
0,은평구 응암3동,37.5892206,126.9180335,hybrid,214
0,은평구 역촌동,37.6045773,126.9146251,hybrid,467
0,은평구 신사1동,37.5986664,126.910344,hybrid,341
0,은평구 신사2동,37.5929504,126.9073938,hybrid,228
0,은평구 증산동,37.5841679,126.9059643,hybrid,257
0,은평구 수색동,37.5861575,126.8933245,hybrid,285
0,은평구 진관동,37.6396512,126.9378404,hybrid,1069
0,서대문구 천연동,37.5679249,126.959429,hybrid,315
0,서대문구 북아현동,37.5624168,126.9543856,hybrid,288
0,서대문구 충현동,37.5638038,126.9593339,hybrid,357
0,서대문구 신촌동,37.5650797,126.9399549,hybrid,193
0,서대문구 연희동,37.5719815,126.9328285,hybrid,514
0,서대문구 홍제1동,37.5876705,126.9449444,hybrid,412
0,서대문구 홍제3동,37.5928868,126.9489057,hybrid,259
0,서대문구 홍제2동,37.5860597,126.9493607,hybrid,231
0,서대문구 홍은1동,37.5988376,126.9471453,hybrid,375
0,서대문구 홍은2동,37.586809,126.9323952,hybrid,393
0,서대문구 남가좌1동,37.5740091,126.9198012,hybrid,450
0,서대문구 남가좌2동,37.5783935,126.9238634,hybrid,549
0,서대문구 북가좌1동,37.574273,126.9101854,hybrid,392
0,서대문구 북가좌2동,37.581292,126.911326,hybrid,328
0,마포구 아현동,37.5544849,126.9562273,hybrid,1
0,마포구 아현동,37.5544849,126.9562273,hybrid,755
0,마포구 공덕동,37.5481125,126.9549965,hybrid,709
0,마포구 도화동,37.5389594,126.9491776,hybrid,512
0,마포구 용강동,37.542285,126.9430588,hybrid,633
0,마포구 대흥동,37.5497599,126.9431416,hybrid,230
0,마포구 염리동,37.5491616,126.9472617,hybrid,320
0,마포구 신수동,37.548572,126.9368133,hybrid,483
0,마포구 서강동,37.5486093,126.9262631,hybrid,558
0,마포구 서교동,37.5537811,126.9186768,hybrid,409
0,마포구 합정동,37.5483014,126.9111751,hybrid,282
0,마포구 망원1동,37.5555904,126.9055602,hybrid,259
0,마포구 망원2동,37.560312,126.9022827,hybrid,258
0,마포구 연남동,37.5627439,126.9214088,hybrid,201
0,마포구 성산1동,37.5633395,126.9078931,hybrid,300
0,마포구 성산2동,37.5685712,126.9089833,hybrid,608
