,dong,fuel,num
0,종로구 청운효자동 ,electric,46
0,종로구 사직동 ,electric,188
0,종로구 삼청동 ,electric,13
0,종로구 부암동 ,electric,49
0,종로구 평창동 ,electric,126
0,종로구 무악동 ,electric,41
0,종로구 교남동 ,electric,68
0,종로구 가회동 ,electric,29
0,종로구 종로1.2.3.4가동 ,electric,167
0,종로구 종로5.6가동 ,electric,21
0,종로구 이화동 ,electric,31
0,종로구 혜화동 ,electric,50
0,종로구 창신1동 ,electric,11
0,종로구 창신2동 ,electric,11
0,종로구 창신3동 ,electric,15
0,종로구 숭인1동 ,electric,21
0,종로구 숭인2동 ,electric,20
0,중구 소공동 ,electric,316
0,중구 회현동 ,electric,1044
0,중구 명동 ,electric,276
0,중구 필동 ,electric,37
0,중구 장충동 ,electric,28
0,중구 광희동 ,electric,58
0,중구 을지로동 ,electric,15
0,중구 신당동 ,electric,41
0,중구 다산동 ,electric,49
0,중구 약수동 ,electric,60
0,중구 청구동 ,electric,47
0,중구 신당5동 ,electric,39
0,중구 동화동 ,electric,17
0,중구 황학동 ,electric,47
0,중구 중림동 ,electric,78
0,용산구 후암동 ,electric,70
0,용산구 용산2가동 ,electric,24
0,용산구 남영동 ,electric,32
0,용산구 청파동 ,electric,35
0,용산구 원효로1동 ,electric,129
0,용산구 원효로2동 ,electric,53
0,용산구 효창동 ,electric,34
0,용산구 용문동 ,electric,38
0,용산구 한강로동 ,electric,235
0,용산구 이촌1동 ,electric,139
0,용산구 이촌2동 ,electric,44
0,용산구 이태원1동 ,electric,73
0,용산구 이태원2동 ,electric,38
0,용산구 한남동 ,electric,176
0,용산구 서빙고동 ,electric,51
0,용산구 보광동 ,electric,30
0,성동구 왕십리2동 ,electric,50
0,성동구 왕십리도선동 ,electric,112
0,성동구 마장동 ,electric,220
0,성동구 사근동 ,electric,39
0,성동구 행당1동 ,electric,101
0,성동구 행당2동 ,electric,64
0,성동구 응봉동 ,electric,37
0,성동구 금호1가동 ,electric,76
0,성동구 금호2.3가동 ,electric,79
0,성동구 금호4가동 ,electric,81
0,성동구 옥수동 ,electric,172
0,성동구 성수1가1동 ,electric,558
0,성동구 성수1가2동 ,electric,293
0,성동구 성수2가1동 ,electric,145
0,성동구 성수2가3동 ,electric,100
0,성동구 송정동 ,electric,34
0,성동구 용답동 ,electric,78
0,광진구 화양동 ,electric,37
0,광진구 군자동 ,electric,62
0,광진구 중곡1동 ,electric,54
0,광진구 중곡2동 ,electric,38
0,광진구 중곡3동 ,electric,37
0,광진구 중곡4동 ,electric,70
0,광진구 능동 ,electric,31
0,광진구 광장동 ,electric,113
0,광진구 자양1동 ,electric,158
0,광진구 자양2동 ,electric,75
0,광진구 자양3동 ,electric,119
0,광진구 자양4동 ,electric,46
0,광진구 구의1동 ,electric,67
0,광진구 구의2동 ,electric,72
0,광진구 구의3동 ,electric,90
0,동대문구 용신동 ,electric,149
0,동대문구 제기동 ,electric,54
0,동대문구 전농1동 ,electric,96
0,동대문구 전농2동 ,electric,60
0,동대문구 답십리1동 ,electric,136
0,동대문구 답십리2동 ,electric,92
0,동대문구 장안1동 ,electric,135
0,동대문구 장안2동 ,electric,118
0,동대문구 청량리동 ,electric,52
0,동대문구 회기동 ,electric,24
0,동대문구 휘경1동 ,electric,50
0,동대문구 휘경2동 ,electric,72
0,동대문구 이문1동 ,electric,39
0,동대문구 이문2동 ,electric,35
0,중랑구 면목2동 ,electric,106
0,중랑구 면목4동 ,electric,53
0,중랑구 면목5동 ,electric,60
0,중랑구 면목본동 ,electric,57
0,중랑구 면목7동 ,electric,62
0,중랑구 면목3.8동 ,electric,60
0,중랑구 상봉1동 ,electric,96
0,중랑구 상봉2동 ,electric,64
0,중랑구 중화1동 ,electric,61
0,중랑구 중화2동 ,electric,63
0,중랑구 묵1동 ,electric,94
0,중랑구 묵2동 ,electric,47
0,중랑구 망우본동 ,electric,236
0,중랑구 망우3동 ,electric,109
0,중랑구 신내1동 ,electric,179
0,중랑구 신내2동 ,electric,110
0,성북구 성북동 ,electric,61
0,성북구 삼선동 ,electric,97
0,성북구 동선동 ,electric,24
0,성북구 돈암1동 ,electric,42
0,성북구 돈암2동 ,electric,91
0,성북구 안암동 ,electric,29
0,성북구 보문동 ,electric,79
0,성북구 정릉1동 ,electric,137
0,성북구 정릉2동 ,electric,71
0,성북구 정릉3동 ,electric,32
0,성북구 정릉4동 ,electric,91
0,성북구 길음1동 ,electric,133
0,성북구 길음2동 ,electric,95
0,성북구 종암동 ,electric,116
0,성북구 월곡1동 ,electric,39
0,성북구 월곡2동 ,electric,74
0,성북구 장위1동 ,electric,87
0,성북구 장위2동 ,electric,33
0,성북구 장위3동 ,electric,65
0,성북구 석관동 ,electric,86
0,강북구 삼양동 ,electric,66
0,강북구 미아동 ,electric,55
0,강북구 송중동 ,electric,69
0,강북구 송천동 ,electric,40
0,강북구 삼각산동 ,electric,107
0,강북구 번1동 ,electric,64
0,강북구 번2동 ,electric,49
0,강북구 번3동 ,electric,128
0,강북구 수유1동 ,electric,43
0,강북구 수유2동 ,electric,1
0,강북구 수유2동 ,electric,51
0,강북구 수유3동 ,electric,41
0,강북구 우이동 ,electric,67
0,강북구 인수동 ,electric,109
0,도봉구 창1동 ,electric,90
0,도봉구 창2동 ,electric,73
0,도봉구 창3동 ,electric,37
0,도봉구 창4동 ,electric,107
0,도봉구 창5동 ,electric,59
0,도봉구 도봉1동 ,electric,100
0,도봉구 도봉2동 ,electric,71
0,도봉구 쌍문1동 ,electric,75
0,도봉구 쌍문2동 ,electric,38
0,도봉구 쌍문3동 ,electric,29
0,도봉구 쌍문4동 ,electric,35
0,도봉구 방학1동 ,electric,217
0,도봉구 방학2동 ,electric,52
0,도봉구 방학3동 ,electric,110
0,노원구 월계1동 ,electric,68
0,노원구 월계2동 ,electric,89
0,노원구 월계3동 ,electric,80
0,노원구 공릉1동 ,electric,132
0,노원구 공릉2동 ,electric,124
0,노원구 하계1동 ,electric,62
0,노원구 하계2동 ,electric,34
0,노원구 중계본동 ,electric,62
0,노원구 중계1동 ,electric,64
0,노원구 중계4동 ,electric,71
0,노원구 중계2.3동 ,electric,77
0,노원구 상계1동 ,electric,254
0,노원구 상계2동 ,electric,85
0,노원구 상계3.4동 ,electric,98
