,dong,fuel,num
0,종로구 청운효자동 ,hybrid,223
0,종로구 사직동 ,hybrid,390
0,종로구 삼청동 ,hybrid,35
0,종로구 부암동 ,hybrid,194
0,종로구 평창동 ,hybrid,494
0,종로구 무악동 ,hybrid,201
0,종로구 교남동 ,hybrid,229
0,종로구 가회동 ,hybrid,55
0,종로구 종로1.2.3.4가동 ,hybrid,294
0,종로구 종로5.6가동 ,hybrid,86
0,종로구 이화동 ,hybrid,67
0,종로구 혜화동 ,hybrid,194
0,종로구 창신1동 ,hybrid,35
0,종로구 창신2동 ,hybrid,38
0,종로구 창신3동 ,hybrid,82
0,종로구 숭인1동 ,hybrid,69
0,종로구 숭인2동 ,hybrid,73
0,중구 소공동 ,hybrid,166
0,중구 회현동 ,hybrid,870
0,중구 명동 ,hybrid,517
0,중구 필동 ,hybrid,130
0,중구 장충동 ,hybrid,57
0,중구 광희동 ,hybrid,101
0,중구 을지로동 ,hybrid,52
0,중구 신당동 ,hybrid,110
0,중구 다산동 ,hybrid,148
0,중구 약수동 ,hybrid,301
0,중구 청구동 ,hybrid,190
0,중구 신당5동 ,hybrid,140
0,중구 동화동 ,hybrid,146
0,중구 황학동 ,hybrid,177
0,중구 중림동 ,hybrid,252
0,용산구 후암동 ,hybrid,177
0,용산구 용산2가동 ,hybrid,72
0,용산구 남영동 ,hybrid,263
0,용산구 청파동 ,hybrid,196
0,용산구 원효로1동 ,hybrid,408
0,용산구 원효로2동 ,hybrid,317
0,용산구 효창동 ,hybrid,217
0,용산구 용문동 ,hybrid,187
0,용산구 한강로동 ,hybrid,714
0,용산구 이촌1동 ,hybrid,771
0,용산구 이촌2동 ,hybrid,151
0,용산구 이태원1동 ,hybrid,123
0,용산구 이태원2동 ,hybrid,118
0,용산구 한남동 ,hybrid,425
0,용산구 서빙고동 ,hybrid,342
0,용산구 보광동 ,hybrid,129
0,기타,hybrid,2
0,성동구 왕십리2동 ,hybrid,241
0,성동구 왕십리도선동 ,hybrid,491
0,성동구 마장동 ,hybrid,316
0,성동구 사근동 ,hybrid,114
0,성동구 행당1동 ,hybrid,301
0,성동구 행당2동 ,hybrid,465
0,성동구 응봉동 ,hybrid,314
0,성동구 금호1가동 ,hybrid,320
0,성동구 금호2.3가동 ,hybrid,406
0,성동구 금호4가동 ,hybrid,349
0,성동구 옥수동 ,hybrid,688
0,성동구 성수1가1동 ,hybrid,394
0,성동구 성수1가2동 ,hybrid,241
0,성동구 성수2가1동 ,hybrid,374
0,성동구 성수2가3동 ,hybrid,302
0,성동구 송정동 ,hybrid,105
0,성동구 용답동 ,hybrid,234
0,광진구 화양동 ,hybrid,167
0,광진구 군자동 ,hybrid,199
0,광진구 중곡1동 ,hybrid,167
0,광진구 중곡2동 ,hybrid,223
0,광진구 중곡3동 ,hybrid,149
0,광진구 중곡4동 ,hybrid,299
0,광진구 능동 ,hybrid,152
0,광진구 광장동 ,hybrid,891
0,광진구 자양1동 ,hybrid,296
0,광진구 자양2동 ,hybrid,353
0,광진구 자양3동 ,hybrid,568
0,광진구 자양4동 ,hybrid,247
0,광진구 구의1동 ,hybrid,312
0,광진구 구의2동 ,hybrid,394
0,광진구 구의3동 ,hybrid,555
0,동대문구 용신동 ,hybrid,507
0,동대문구 제기동 ,hybrid,249
0,동대문구 전농1동 ,hybrid,368
0,동대문구 전농2동 ,hybrid,282
0,동대문구 답십리1동 ,hybrid,527
0,동대문구 답십리2동 ,hybrid,435
0,동대문구 장안1동 ,hybrid,583
0,동대문구 장안2동 ,hybrid,505
0,동대문구 청량리동 ,hybrid,187
0,동대문구 회기동 ,hybrid,104
0,동대문구 휘경1동 ,hybrid,165
0,동대문구 휘경2동 ,hybrid,328
0,동대문구 이문1동 ,hybrid,177
0,동대문구 이문2동 ,hybrid,269
0,중랑구 면목2동 ,hybrid,0
0,중랑구 면목2동 ,hybrid,232
0,중랑구 면목4동 ,hybrid,214
0,중랑구 면목5동 ,hybrid,251
0,중랑구 면목본동 ,hybrid,294
0,중랑구 면목7동 ,hybrid,260
0,중랑구 면목3.8동 ,hybrid,217
0,중랑구 상봉1동 ,hybrid,381
0,중랑구 상봉2동 ,hybrid,224
0,중랑구 중화1동 ,hybrid,201
0,중랑구 중화2동 ,hybrid,188
0,중랑구 묵1동 ,hybrid,510
0,중랑구 묵2동 ,hybrid,168
0,중랑구 망우본동 ,hybrid,421
0,중랑구 망우3동 ,hybrid,129
0,중랑구 신내1동 ,hybrid,566
0,중랑구 신내2동 ,hybrid,308
0,성북구 성북동 ,hybrid,282
0,성북구 삼선동 ,hybrid,262
0,성북구 동선동 ,hybrid,137
0,성북구 돈암1동 ,hybrid,237
0,성북구 돈암2동 ,hybrid,542
0,성북구 안암동 ,hybrid,132
0,성북구 보문동 ,hybrid,246
0,성북구 정릉1동 ,hybrid,289
0,성북구 정릉2동 ,hybrid,303
0,성북구 정릉3동 ,hybrid,164
0,성북구 정릉4동 ,hybrid,384
0,성북구 길음1동 ,hybrid,671
0,성북구 길음2동 ,hybrid,389
0,성북구 종암동 ,hybrid,532
0,성북구 월곡1동 ,hybrid,363
0,성북구 월곡2동 ,hybrid,238
